datetime,price,moving_average,raw_signal,weighted_signal,normalized_signal,current_num_factors,current_normalization_factor,current_multiplier
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,304.8479461396637,inf,20.0,0.0,3.0
2025-01-05 02:03:51.158,98118.75309342929,,,,,21.0,0.0,3.1
2025-01-05 03:03:45.049,98209.76129204805,,,,,21.0,0.0,3.1
2025-01-05 04:03:39.688,98166.25388666027,,,,,21.0,0.0,3.1
2025-01-05 05:03:36.996,98328.29404861871,,,,,21.0,0.0,3.1
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,315.0095443443192,inf,21.0,0.0,3.1
2025-01-05 02:03:51.158,98118.75309342929,,,,,22.0,0.0,3.2
2025-01-05 03:03:45.049,98209.76129204805,,,,,22.0,0.0,3.2
2025-01-05 04:03:39.688,98166.25388666027,,,,,22.0,0.0,3.2
2025-01-05 05:03:36.996,98328.29404861871,,,,,22.0,0.0,3.2
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,325.1711425489746,inf,22.0,0.0,3.2
2025-01-05 02:03:51.158,98118.75309342929,,,,,23.0,0.0,3.3000000000000003
2025-01-05 03:03:45.049,98209.76129204805,,,,,23.0,0.0,3.3000000000000003
2025-01-05 04:03:39.688,98166.25388666027,,,,,23.0,0.0,3.3000000000000003
2025-01-05 05:03:36.996,98328.29404861871,,,,,23.0,0.0,3.3000000000000003
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,335.3327407536301,inf,23.0,0.0,3.3000000000000003
2025-01-05 02:03:51.158,98118.75309342929,,,,,24.0,0.0,3.4000000000000004
2025-01-05 03:03:45.049,98209.76129204805,,,,,24.0,0.0,3.4000000000000004
2025-01-05 04:03:39.688,98166.25388666027,,,,,24.0,0.0,3.4000000000000004
2025-01-05 05:03:36.996,98328.29404861871,,,,,24.0,0.0,3.4000000000000004
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,345.49433895828554,inf,24.0,0.0,3.4000000000000004
2025-01-05 02:03:51.158,98118.75309342929,,,,,25.0,0.0,3.5
2025-01-05 03:03:45.049,98209.76129204805,,,,,25.0,0.0,3.5
2025-01-05 04:03:39.688,98166.25388666027,,,,,25.0,0.0,3.5
2025-01-05 05:03:36.996,98328.29404861871,,,,,25.0,0.0,3.5
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,355.655937162941,inf,25.0,0.0,3.5
2025-01-05 02:03:51.158,98118.75309342929,,,,,26.0,0.0,3.6
2025-01-05 03:03:45.049,98209.76129204805,,,,,26.0,0.0,3.6
2025-01-05 04:03:39.688,98166.25388666027,,,,,26.0,0.0,3.6
2025-01-05 05:03:36.996,98328.29404861871,,,,,26.0,0.0,3.6
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,365.81753536759646,inf,26.0,0.0,3.6
2025-01-05 02:03:51.158,98118.75309342929,,,,,27.0,0.0,3.7
2025-01-05 03:03:45.049,98209.76129204805,,,,,27.0,0.0,3.7
2025-01-05 04:03:39.688,98166.25388666027,,,,,27.0,0.0,3.7
2025-01-05 05:03:36.996,98328.29404861871,,,,,27.0,0.0,3.7
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,375.9791335722519,inf,27.0,0.0,3.7
2025-01-05 02:03:51.158,98118.75309342929,,,,,28.0,0.0,3.8000000000000003
2025-01-05 03:03:45.049,98209.76129204805,,,,,28.0,0.0,3.8000000000000003
2025-01-05 04:03:39.688,98166.25388666027,,,,,28.0,0.0,3.8000000000000003
2025-01-05 05:03:36.996,98328.29404861871,,,,,28.0,0.0,3.8000000000000003
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,386.1407317769074,inf,28.0,0.0,3.8000000000000003
2025-01-05 02:03:51.158,98118.75309342929,,,,,29.0,0.0,3.9000000000000004
2025-01-05 03:03:45.049,98209.76129204805,,,,,29.0,0.0,3.9000000000000004
2025-01-05 04:03:39.688,98166.25388666027,,,,,29.0,0.0,3.9000000000000004
2025-01-05 05:03:36.996,98328.29404861871,,,,,29.0,0.0,3.9000000000000004
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,396.3023299815628,inf,29.0,0.0,3.9000000000000004
2025-01-05 02:03:51.158,98118.75309342929,,,,,30.0,0.0,4.0
2025-01-05 03:03:45.049,98209.76129204805,,,,,30.0,0.0,4.0
2025-01-05 04:03:39.688,98166.25388666027,,,,,30.0,0.0,4.0
2025-01-05 05:03:36.996,98328.29404861871,,,,,30.0,0.0,4.0
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,406.46392818621825,inf,30.0,0.0,4.0
2025-01-05 02:03:51.158,98118.75309342929,,,,,31.0,0.0,4.1
2025-01-05 03:03:45.049,98209.76129204805,,,,,31.0,0.0,4.1
2025-01-05 04:03:39.688,98166.25388666027,,,,,31.0,0.0,4.1
2025-01-05 05:03:36.996,98328.29404861871,,,,,31.0,0.0,4.1
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,416.6255263908737,inf,31.0,0.0,4.1
2025-01-05 02:03:51.158,98118.75309342929,,,,,32.0,0.0,4.2
2025-01-05 03:03:45.049,98209.76129204805,,,,,32.0,0.0,4.2
2025-01-05 04:03:39.688,98166.25388666027,,,,,32.0,0.0,4.2
2025-01-05 05:03:36.996,98328.29404861871,,,,,32.0,0.0,4.2
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,426.7871245955292,inf,32.0,0.0,4.2
2025-01-05 02:03:51.158,98118.75309342929,,,,,33.0,0.0,4.300000000000001
2025-01-05 03:03:45.049,98209.76129204805,,,,,33.0,0.0,4.300000000000001
2025-01-05 04:03:39.688,98166.25388666027,,,,,33.0,0.0,4.300000000000001
2025-01-05 05:03:36.996,98328.29404861871,,,,,33.0,0.0,4.300000000000001
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,436.94872280018467,inf,33.0,0.0,4.300000000000001
2025-01-05 02:03:51.158,98118.75309342929,,,,,34.0,0.0,4.4
2025-01-05 03:03:45.049,98209.76129204805,,,,,34.0,0.0,4.4
2025-01-05 04:03:39.688,98166.25388666027,,,,,34.0,0.0,4.4
2025-01-05 05:03:36.996,98328.29404861871,,,,,34.0,0.0,4.4
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,447.1103210048401,inf,34.0,0.0,4.4
2025-01-05 02:03:51.158,98118.75309342929,,,,,35.0,0.0,4.5
2025-01-05 03:03:45.049,98209.76129204805,,,,,35.0,0.0,4.5
2025-01-05 04:03:39.688,98166.25388666027,,,,,35.0,0.0,4.5
2025-01-05 05:03:36.996,98328.29404861871,,,,,35.0,0.0,4.5
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,457.27191920949554,inf,35.0,0.0,4.5
2025-01-05 02:03:51.158,98118.75309342929,,,,,36.0,0.0,4.6
2025-01-05 03:03:45.049,98209.76129204805,,,,,36.0,0.0,4.6
2025-01-05 04:03:39.688,98166.25388666027,,,,,36.0,0.0,4.6
2025-01-05 05:03:36.996,98328.29404861871,,,,,36.0,0.0,4.6
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,467.43351741415097,inf,36.0,0.0,4.6
2025-01-05 02:03:51.158,98118.75309342929,,,,,37.0,0.0,4.7
2025-01-05 03:03:45.049,98209.76129204805,,,,,37.0,0.0,4.7
2025-01-05 04:03:39.688,98166.25388666027,,,,,37.0,0.0,4.7
2025-01-05 05:03:36.996,98328.29404861871,,,,,37.0,0.0,4.7
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,477.59511561880646,inf,37.0,0.0,4.7
2025-01-05 02:03:51.158,98118.75309342929,,,,,38.0,0.0,4.800000000000001
2025-01-05 03:03:45.049,98209.76129204805,,,,,38.0,0.0,4.800000000000001
2025-01-05 04:03:39.688,98166.25388666027,,,,,38.0,0.0,4.800000000000001
2025-01-05 05:03:36.996,98328.29404861871,,,,,38.0,0.0,4.800000000000001
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,487.75671382346195,inf,38.0,0.0,4.800000000000001
2025-01-05 02:03:51.158,98118.75309342929,,,,,39.0,0.0,4.9
2025-01-05 03:03:45.049,98209.76129204805,,,,,39.0,0.0,4.9
2025-01-05 04:03:39.688,98166.25388666027,,,,,39.0,0.0,4.9
2025-01-05 05:03:36.996,98328.29404861871,,,,,39.0,0.0,4.9
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,497.9183120281174,inf,39.0,0.0,4.9
2025-01-05 02:03:51.158,98118.75309342929,,,,,40.0,0.0,5.0
2025-01-05 03:03:45.049,98209.76129204805,,,,,40.0,0.0,5.0
2025-01-05 04:03:39.688,98166.25388666027,,,,,40.0,0.0,5.0
2025-01-05 05:03:36.996,98328.29404861871,,,,,40.0,0.0,5.0
2025-01-05 06:00:58.589,98332.78555774728,98231.16957570073,101.61598204655456,508.0799102327728,inf,40.0,0.0,5.0
